iter	MultiClass
0	1.034021548
1	0.9839278099
2	0.9431883075
3	0.910414578
4	0.8797031837
5	0.8535877499
6	0.8315865103
7	0.813379986
8	0.7967605232
9	0.7818297261
10	0.7685940691
11	0.7566904074
12	0.7479775424
13	0.738884549
14	0.7309338842
15	0.7227017745
16	0.7160876196
17	0.709832846
18	0.704732931
19	0.6991415707
20	0.694557629
21	0.6892514079
22	0.6841366799
23	0.6803410013
24	0.6764855139
25	0.6736469337
26	0.6702908373
27	0.6674008346
28	0.6647229832
29	0.6620914932
30	0.6594359804
31	0.6578733642
32	0.6552386603
33	0.65342443
34	0.6512358282
35	0.649231344
36	0.6477429975
37	0.6462678251
38	0.644701756
39	0.6431635951
40	0.64145964
41	0.6396078786
42	0.638295556
43	0.636746744
44	0.6351529172
45	0.6334814785
46	0.6326759213
47	0.6312853818
48	0.6299885102
49	0.6284913411
50	0.6274308585
51	0.626322272
52	0.6252413098
53	0.624391157
54	0.623518322
55	0.6222283862
56	0.6212052148
57	0.6202311179
58	0.6192023246
59	0.6185725675
60	0.6180793178
61	0.6171081728
62	0.6163689801
63	0.6157497986
64	0.615205512
65	0.6141744495
66	0.6132409691
67	0.6126742307
68	0.611744328
69	0.6111245381
70	0.610478382
71	0.6094448289
72	0.6083793457
73	0.6077269107
74	0.6072055064
75	0.6064477014
76	0.6061295928
77	0.6055282265
78	0.6049018063
79	0.6037663867
80	0.6030207109
81	0.6024783358
82	0.6017145579
83	0.6008854779
84	0.6005040373
85	0.6000106332
86	0.5994693862
87	0.5986935545
88	0.5981188955
89	0.5974146229
90	0.5965080173
91	0.5959150313
92	0.5948023294
93	0.5942245667
94	0.5934666533
95	0.5927731695
96	0.5923209854
97	0.5917603843
98	0.5911672978
99	0.5903753783
100	0.5901587899
101	0.589763479
102	0.5893969812
103	0.5889440519
104	0.5883343539
105	0.5879831662
106	0.5874565218
107	0.5866814422
108	0.5862160241
109	0.58566092
110	0.5850286786
111	0.5843888554
112	0.584178497
113	0.5833145855
114	0.5829070945
115	0.5824194985
116	0.5819112985
117	0.5814925077
118	0.5809825387
119	0.5806764384
120	0.5799923333
121	0.5794013275
122	0.578976676
123	0.5783512538
124	0.5777380332
125	0.5771139279
126	0.5765914533
127	0.5762479969
128	0.5758076215
129	0.5751202578
130	0.5741561318
131	0.5731382761
132	0.5726076232
133	0.5720582841
134	0.5718042269
135	0.571049017
136	0.570395951
137	0.5702356502
138	0.5697110331
139	0.5693344094
140	0.5688752603
141	0.5682532502
142	0.5679467772
143	0.5671346753
144	0.566237109
145	0.5655546169
146	0.5652150325
147	0.5650359551
148	0.5644555228
149	0.564284851
150	0.5637800975
151	0.5632835442
152	0.5628058053
153	0.5623013345
154	0.561873557
155	0.5614193571
156	0.5608821036
157	0.5603856112
158	0.5599800328
159	0.5596732907
160	0.5591966339
161	0.5587100507
162	0.5584380961
163	0.5581584095
164	0.5578476464
165	0.5570961482
166	0.5566381868
167	0.5558832581
168	0.5554175384
169	0.5550828181
170	0.5545137246
171	0.5542085414
172	0.5539422564
173	0.5537868752
174	0.553280231
175	0.5528155914
176	0.55235858
177	0.5519818087
178	0.5514015219
179	0.5508958086
180	0.5506298212
181	0.5503158064
182	0.5500373939
183	0.5495274298
184	0.5491476194
185	0.5486065015
186	0.5480531191
187	0.5475884077
188	0.5472306097
189	0.5467725757
190	0.5463624107
191	0.5460031692
192	0.5456711739
193	0.5452719628
194	0.5449543386
195	0.5444427644
196	0.5439575094
197	0.5433539265
198	0.54295791
199	0.5426440267
200	0.5421113977
201	0.5417539753
202	0.5412738149
203	0.5408910975
204	0.5404096628
205	0.5400258778
206	0.5395806326
207	0.5392835015
208	0.5389889235
209	0.5386627485
210	0.5381995516
211	0.5379082002
212	0.5375433508
213	0.5371513255
214	0.5367518756
215	0.5362325407
216	0.5357852664
217	0.5354892459
218	0.5351178775
219	0.5347979933
220	0.5346101956
221	0.5343088584
222	0.5340402982
223	0.5336583595
224	0.5335173289
225	0.5330839037
226	0.532746055
227	0.5322575893
228	0.5319348732
229	0.5316189987
230	0.5311063873
231	0.5307600192
232	0.5305520959
233	0.530270293
234	0.5298296132
235	0.5295044081
236	0.5292507489
237	0.529014765
238	0.5287167181
239	0.5284491858
240	0.5279979518
241	0.5276853487
242	0.5273084048
243	0.5269981279
244	0.5266951507
245	0.5262684084
246	0.5259895463
247	0.5256262309
248	0.5253636702
249	0.5248512265
250	0.5244863009
251	0.5240626393
252	0.5238077635
253	0.5235403793
254	0.5232122481
255	0.5230348929
256	0.5228715764
257	0.5224904588
258	0.5221254838
259	0.5217401308
260	0.5213156544
261	0.52090069
262	0.520636458
263	0.5203038769
264	0.5196315293
265	0.5193135747
266	0.5188063146
267	0.5186001384
268	0.5181629419
269	0.5179047316
270	0.5174353733
271	0.5172057712
272	0.5168260947
273	0.5161943961
274	0.5156937367
275	0.5153574559
276	0.5150409588
277	0.514696956
278	0.5142768951
279	0.5140276344
280	0.5137989223
281	0.5132973451
282	0.5129397896
283	0.5126490164
284	0.5121372817
285	0.5119709107
286	0.5116107183
287	0.5112581246
288	0.5110104927
289	0.5106852757
290	0.5100961185
291	0.509902887
292	0.5094060623
293	0.5090203866
294	0.5088091703
295	0.5085142351
296	0.5081114295
297	0.5079297971
298	0.5076692157
299	0.5074787992
300	0.5071552009
301	0.5068866851
302	0.5065702902
303	0.5062578062
304	0.506137513
305	0.505776316
306	0.5054661039
307	0.5052739094
308	0.5048171134
309	0.5045404099
310	0.5041903178
311	0.5035964802
312	0.5033728232
313	0.5030433366
314	0.5027879377
315	0.5025828375
316	0.5023572226
317	0.5020125438
318	0.5018066672
319	0.501426429
320	0.5011409271
321	0.5009004812
322	0.5006036644
323	0.5001662832
324	0.4998445704
325	0.499532733
326	0.4992605502
327	0.4988315047
328	0.4982608997
329	0.4979661392
