iter	Passed	Remaining
0	4	1783
1	8	1753
2	12	1657
3	16	1626
4	20	1614
5	24	1597
6	27	1549
7	31	1529
8	34	1515
9	38	1500
10	42	1520
11	47	1526
12	50	1516
13	54	1505
14	58	1503
15	62	1492
16	66	1492
17	69	1477
18	73	1471
19	77	1466
20	80	1456
21	84	1452
22	88	1444
23	91	1440
24	95	1433
25	99	1428
26	102	1420
27	106	1410
28	109	1404
29	113	1398
30	117	1393
31	120	1385
32	124	1383
33	128	1382
34	132	1377
35	136	1375
36	140	1374
37	143	1370
38	147	1366
39	151	1359
40	154	1354
41	158	1351
42	162	1347
43	166	1343
44	170	1341
45	173	1335
46	176	1329
47	180	1325
48	184	1319
49	187	1314
50	191	1307
51	195	1305
52	198	1299
53	202	1294
54	205	1291
55	209	1287
56	212	1281
57	216	1274
58	219	1270
59	223	1264
60	226	1259
61	230	1254
62	233	1250
63	237	1244
64	240	1238
65	244	1235
66	247	1229
67	251	1226
68	254	1220
69	257	1215
70	261	1211
71	265	1207
72	269	1206
73	272	1200
74	276	1198
75	279	1193
76	283	1188
77	286	1184
78	290	1179
79	294	1177
80	297	1171
81	301	1168
82	304	1163
83	308	1159
84	311	1154
85	314	1149
86	318	1146
87	322	1142
88	325	1139
89	329	1133
90	332	1129
91	336	1126
92	339	1121
93	343	1118
94	347	1114
95	350	1110
96	354	1105
97	357	1101
98	360	1097
99	364	1092
100	367	1088
101	370	1083
102	373	1078
103	377	1074
104	380	1069
105	384	1065
106	387	1061
107	391	1057
108	394	1053
109	397	1049
110	401	1045
111	405	1041
112	408	1037
113	411	1033
114	415	1029
115	418	1025
116	422	1021
117	425	1017
118	428	1012
119	432	1008
120	435	1004
121	438	1000
122	442	997
123	445	992
124	449	989
125	453	985
126	456	980
127	459	976
128	462	972
129	466	969
130	470	965
131	473	962
132	477	958
133	480	954
134	484	950
135	487	946
136	491	944
137	495	939
138	498	936
139	502	932
140	505	928
141	509	925
142	512	920
143	516	918
144	520	914
145	523	911
146	527	907
147	530	903
148	534	900
149	537	896
150	541	893
151	544	888
152	548	884
153	551	880
154	554	876
155	558	873
156	562	869
157	565	866
158	568	862
159	572	858
160	575	854
161	579	850
162	582	846
163	585	842
164	588	838
165	592	835
166	595	830
167	599	827
168	602	823
169	606	820
170	609	816
171	612	812
172	616	809
173	619	804
174	623	801
175	626	797
176	630	794
177	633	790
178	637	786
179	641	783
180	644	779
181	647	775
182	651	772
183	654	768
184	658	765
185	661	761
186	665	757
187	668	753
188	672	750
189	675	746
190	678	742
191	682	739
192	685	735
193	689	731
194	692	727
195	695	724
196	699	720
197	702	716
198	706	713
199	709	709
200	712	705
201	716	702
202	719	698
203	723	694
204	726	691
205	730	687
206	733	683
207	736	680
208	740	676
209	743	672
210	747	669
211	750	665
212	754	661
213	758	659
214	762	655
215	765	652
216	769	649
217	773	645
218	776	641
219	780	638
220	783	634
221	787	631
222	790	627
223	793	623
224	796	619
225	800	616
226	803	612
227	807	608
228	810	605
229	814	601
230	817	598
231	820	594
232	824	590
233	827	587
234	831	583
235	834	579
236	837	576
237	841	572
238	844	569
239	848	565
240	851	561
241	855	558
242	859	555
243	863	552
244	867	548
245	870	545
246	873	541
247	879	538
248	882	535
249	886	531
250	889	528
251	893	524
252	896	521
253	900	517
254	903	513
255	906	510
256	910	506
257	913	502
258	916	498
259	920	495
260	923	491
261	927	488
262	930	484
263	934	481
264	937	477
265	941	474
266	944	470
267	948	466
268	951	463
269	955	459
270	958	456
271	961	452
272	965	448
273	969	445
274	972	442
275	976	438
276	979	434
277	982	431
278	986	428
279	989	424
280	993	420
281	997	417
282	1000	413
283	1003	410
284	1007	406
285	1010	402
286	1014	399
287	1017	395
288	1020	392
289	1023	388
290	1027	384
291	1031	381
292	1034	377
293	1037	374
294	1041	370
295	1044	367
296	1048	363
297	1051	359
298	1055	356
299	1058	352
300	1061	349
301	1064	345
302	1068	342
303	1071	338
304	1075	334
305	1078	331
306	1081	327
307	1085	324
308	1088	320
309	1092	317
310	1095	313
311	1099	310
312	1102	306
313	1106	303
314	1109	299
315	1113	295
316	1116	292
317	1120	288
318	1123	285
319	1127	281
320	1130	278
321	1134	274
322	1137	271
323	1141	267
324	1144	264
325	1147	260
326	1151	257
327	1154	253
328	1158	250
329	1161	246
330	1165	243
331	1169	239
332	1172	235
333	1176	232
